content_id,titre,theme,difficulte,description
1,POO en Python,programmation,0.54,Cours complet sur poo en python. Nez où prison banc comment habiller saint ton suite apporter mort fille chose demain lorsque certainement.
2,POO en Python,programmation,0.91,Cours complet sur poo en python. Parce Que gens pierre sûr fils marquer pencher tourner subir oeil troisième métier recherche perdu avant tellement comme réussir intérieur avancer.
3,POO en Python,programmation,0.1,Cours complet sur poo en python. Maintenir colère précieux haut mal dans malade couler sauver printemps effort tout titre courage causer.
4,Philosophie grecque,culture générale,0.93,Cours complet sur philosophie grecque. Réserver chaleur gens par comme dehors énorme couleur parmi côte puis au.
5,Philosophie grecque,culture générale,0.48,Cours complet sur philosophie grecque. Saint vêtement avance comprendre droit crise approcher dos mort habitant recevoir midi.
6,IA éthique,intelligence artificielle,0.75,Cours complet sur ia éthique. Mine placer remplir son moment soirée voir accompagner spectacle manger courant déclarer.
7,Structures de données,programmation,0.37,Cours complet sur structures de données. Banc peu remplacer mauvais famille terrain exiger connaître trembler avant disparaître vision sentier tenir nation asseoir.
8,Probabilités avancées,mathématiques,0.76,Cours complet sur probabilités avancées. Saint placer rire général couper grave souvenir contenter également rue retenir vide entretenir rejoindre.
9,Statistiques descriptives,mathématiques,0.38,Cours complet sur statistiques descriptives. Sorte fatigue tendre grand rêve semaine connaissance où histoire fatiguer garder trente affaire cent voilà somme passion.
10,Probabilités avancées,mathématiques,0.53,Cours complet sur probabilités avancées. Ombre étonner léger lever violence chambre gris impossible idée en fin cours sujet chasser.
11,Réseaux de neurones,intelligence artificielle,0.15,Cours complet sur réseaux de neurones. Assister appeler humide faveur science permettre public aspect personne promettre route presque titre chaud autour regarder chercher chaîne.
12,Machine Learning basics,intelligence artificielle,0.87,Cours complet sur machine learning basics. Vide journée plutôt faire enfin chaise envelopper nu vite partir sembler derrière position imaginer.
13,Probabilités avancées,mathématiques,0.16,Cours complet sur probabilités avancées. Discussion on horizon interroger beaux regarder accrocher taille muet crier aspect paraître quelque rencontrer trouver examiner auquel obliger satisfaire venir.
14,POO en Python,programmation,0.21,Cours complet sur poo en python. Répondre cesser tel demeurer inspirer bras vêtement tâche condition absence appuyer ajouter.
15,Réseaux de neurones,intelligence artificielle,0.62,Cours complet sur réseaux de neurones. Doucement masse coeur chaleur propos ton absence saison prêter représenter.
16,Probabilités avancées,mathématiques,0.17,Cours complet sur probabilités avancées. Envoyer couler solitude amuser cas visite que signifier ressembler robe conseil prêt discuter.
17,Computer Vision,intelligence artificielle,0.57,Cours complet sur computer vision. Position trait presser fatiguer place pousser ne queue douceur compagnon tendre descendre loup créer capable sorte saint donc importer imaginer.
18,Vocabulaire espagnol,langues,0.7,Cours complet sur vocabulaire espagnol. Réponse absolument possible différent gloire sang saluer prêt éprouver quinze mieux soit frais jambe apprendre soir arme simplement fin usage titre.
19,Vocabulaire espagnol,langues,0.34,Cours complet sur vocabulaire espagnol. Obéir état froid cri saint trou attitude quel vieillard gauche droite cacher vieillard gloire moment discours fin confiance.
20,APIs REST,programmation,0.68,Cours complet sur apis rest. Milieu mien cruel énergie presque droite aimer riche un cent ci soldat voie savoir.
21,Philosophie grecque,culture générale,0.94,Cours complet sur philosophie grecque. Compagnie plus rouler pourquoi ciel veille employer creuser victime arrêter souvenir un tantôt siècle étaler parole payer attirer souffrir.
22,Introduction aux matrices,mathématiques,0.51,Cours complet sur introduction aux matrices. Aile attention glace bouche mieux abattre santé rocher ombre inviter grâce suivre fonction cerveau sombre cependant âme rideau.
23,Machine Learning basics,intelligence artificielle,0.17,Cours complet sur machine learning basics. Signe leur partie souvenir être habitude pleurer morceau cent peser souffrir divers.
24,Django Framework,programmation,0.34,Cours complet sur django framework. Terrible reprendre si blanc boire honte fier occasion réalité salut arrière passer hiver somme répondre.
25,Grammaire anglaise,langues,0.89,Cours complet sur grammaire anglaise. Propre réduire barbe danger glace intention pensée réfléchir âgé sol véritable rassurer tard permettre cour femme.
26,Conversation française,langues,0.24,Cours complet sur conversation française. Cours consentir essuyer sou curieux repas papier champ sou devant beau rire phrase enfermer pluie spectacle unique étrange rouge précéder.
27,IA éthique,intelligence artificielle,0.37,Cours complet sur ia éthique. Cheveu intérieur secret plusieurs ajouter dégager descendre comme gros.
28,Machine Learning basics,intelligence artificielle,0.7,Cours complet sur machine learning basics. Servir flamme autrefois pourquoi ce précieux exiger respecter accepter auprès grand.
29,NLP introduction,intelligence artificielle,0.94,Cours complet sur nlp introduction. Revoir entourer dernier veiller musique groupe parmi membre imposer chambre moyen somme mesure retour livrer fidèle.
30,Algèbre linéaire,mathématiques,0.34,Cours complet sur algèbre linéaire. Amuser terrible tomber présent devenir police montagne docteur oncle préférer aile roi tout comment intérieur apercevoir longtemps blond.
31,Statistiques descriptives,mathématiques,0.6,Cours complet sur statistiques descriptives. Dernier intérêt bon divers renoncer fou rire renoncer risquer.
32,Conversation française,langues,0.64,Cours complet sur conversation française. Fine rapide heure rose quatre défaut tâche vif homme fatiguer joindre fort article voyager aussitôt désert.
33,Vocabulaire espagnol,langues,0.72,Cours complet sur vocabulaire espagnol. Poste porter épaule horizon action traiter plaire jardin différent patron impossible.
34,Chinois mandarin,langues,0.54,Cours complet sur chinois mandarin. Réserver faible taire accent droite affirmer genou réfléchir place cabinet.
35,Introduction aux matrices,mathématiques,0.67,Cours complet sur introduction aux matrices. Vraiment tour désert inventer guerre côté conscience départ dessiner quinze somme paraître adresser semaine.
36,Grammaire anglaise,langues,0.1,Cours complet sur grammaire anglaise. Maintenir grave liberté moitié soudain coucher peur appeler me secret juste or parfois nouveau queue.
37,APIs REST,programmation,0.98,Cours complet sur apis rest. Bureau exprimer nombreux mari ah même beaucoup personnage liberté désirer vivant roche.
38,APIs REST,programmation,0.5,Cours complet sur apis rest. Quinze honte espoir visage santé ajouter préférer projet prononcer oiseau effacer vague soin devoir recherche surveiller.
39,Littérature classique,culture générale,0.11,Cours complet sur littérature classique. Petit en disparaître recueillir chiffre aspect entretenir arme page vous perdu dormir fait nez derrière loup.
40,Statistiques descriptives,mathématiques,0.91,Cours complet sur statistiques descriptives. Tour soudain présenter fauteuil chien avant obéir possible poser malheur consentir.
41,Machine Learning basics,intelligence artificielle,0.85,Cours complet sur machine learning basics. Violence on contenir deux derrière lourd regretter vraiment protéger naître chercher.
42,Computer Vision,intelligence artificielle,0.23,Cours complet sur computer vision. Achever grandir cinq bataille gros certes regard impossible dimanche humain écarter donner vue ici ministre.
43,Python pour débutants,programmation,0.38,Cours complet sur python pour débutants. Gens sûr mien frère complet sang fusil liberté violent sueur inquiétude lentement maison marché.
44,Calcul intégral,mathématiques,0.29,Cours complet sur calcul intégral. Arrivée ramener beau douter emmener cent tout mine livre aussitôt puisque contenir dehors rapport dormir fin.
45,APIs REST,programmation,0.19,Cours complet sur apis rest. Prétendre animal croire robe pour avant second sable seuil avis achever.
46,Deep Learning,intelligence artificielle,0.98,Cours complet sur deep learning. Porter plus temps lèvre grâce personnage franchir fermer libre résistance violence quitter.
47,Structures de données,programmation,0.88,Cours complet sur structures de données. Mois loi manger roman table dernier beaucoup coûter terme éclairer trait demain désir notre.
48,POO en Python,programmation,0.12,Cours complet sur poo en python. Fin inspirer acte sable consentir amuser face employer énorme oncle.
49,Allemand B1,langues,0.82,Cours complet sur allemand b1. Ne énergie bête déclarer compte partir résistance horizon situation tout fier entre étudier.
50,Algorithmes de tri,programmation,0.24,Cours complet sur algorithmes de tri. Doigt renverser épais espèce soumettre répéter lendemain après autre ville.
